Index,compound_id,protein_id,Activity %,Ki (nM),pKi
1,CHEMBL10,O00141,97.32944607,7943.28234724283,5.1
2,CHEMBL10,O14757,97.33189734,5011.87233627273,5.3
3,CHEMBL10,O14920,106.3209912,3162.27766016838,5.5
4,CHEMBL10,O15111,100.1954935,3981.07170553497,5.4
5,CHEMBL10,O15264,97.39478559,7943.28234724283,5.1
6,CHEMBL10,O15530,96.324349,3981.07170553497,5.4
7,CHEMBL10,O43293,95.45546777,5011.87233627273,5.3
8,CHEMBL10,O43781,98.98067066,6309.57344480194,5.2
9,CHEMBL10,O60674,99.49568631,2511.88643150958,5.6
10,CHEMBL10,O75116,98.39678971,5011.87233627273,5.3
11,CHEMBL10,O75582,103.4967189,1995.26231496888,5.7
12,CHEMBL10,O75676,99.59356327,1584.89319246112,5.8
13,CHEMBL10,O94806,92.67395894,3981.07170553497,5.4
14,CHEMBL10,O95819,106.843726945,398.107170553497,6.4
15,CHEMBL10,O96013,91.98869215,5011.87233627273,5.3
16,CHEMBL10,O96017,99.55455048,6309.57344480194,5.2
17,CHEMBL10,P00519,96.97033903,3162.27766016838,5.5
18,CHEMBL10,P00533,86.51458355,1258.92541179417,5.9
19,CHEMBL10,P04626,94.56147025,1258.92541179417,5.9
20,CHEMBL10,P04629,100.4698946,2511.88643150958,5.6
21,CHEMBL10,P05129,89.98205816,7943.28234724283,5.1
22,CHEMBL10,P06239,94.97675978,5011.87233627273,5.3
23,CHEMBL10,P06241,89.81017023,3981.07170553497,5.4
24,CHEMBL10,P06493,95.13439827,7943.28234724283,5.1
25,CHEMBL10,P07332,97.28695128,1995.26231496888,5.7
26,CHEMBL10,P07333,95.51909194,2511.88643150958,5.6
27,CHEMBL10,P07948,91.80809225,1584.89319246112,5.8
28,CHEMBL10,P07949,85.05317333,3162.27766016838,5.5
29,CHEMBL10,P08069,94.32161655,1995.26231496888,5.7
30,CHEMBL10,P08631,96.07318399,3162.27766016838,5.5
31,CHEMBL10,P08922,94.4109124,2511.88643150958,5.6
32,CHEMBL10,P09619,102.7798215,1995.26231496888,5.7
33,CHEMBL10,P11309,102.7231429,6309.57344480194,5.2
34,CHEMBL10,P11362,90.71965162,3981.07170553497,5.4
35,CHEMBL10,P15735,102.4468578,5011.87233627273,5.3
36,CHEMBL10,P16234,98.82498034,3162.27766016838,5.5
37,CHEMBL10,P16591,95.04628856,1584.89319246112,5.8
38,CHEMBL10,P17252,92.33413427,2511.88643150958,5.6
39,CHEMBL10,P17948,95.15507638,3981.07170553497,5.4
40,CHEMBL10,P22607,96.96960187,1995.26231496888,5.7
41,CHEMBL10,P23443,97.15756221,6309.57344480194,5.2
42,CHEMBL10,P24941,96.856161275,7943.28234724283,5.1
43,CHEMBL10,P27448,100.6443267,6309.57344480194,5.2
